"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","street","city","statezip","country"
"2014-05-06 00:00:00",488000,5,2,2020,5000,1.5,0,0,4,2020,0,1938,0,"9020-9024 11th Ave NW","Seattle","WA 98117","USA"
"2014-05-12 00:00:00",339000,3,1,1080,8100,1,0,0,4,1080,0,1955,2009,"20248 20th Ave NE","Shoreline","WA 98155","USA"
"2014-07-03 00:00:00",1042031,4,5,4110,43560,2,0,0,4,4110,0,1978,2000,"2808 120th Ave NE","Bellevue","WA 98005","USA"
"2014-06-27 00:00:00",327000,5,2.75,2400,8050,2,0,0,3,2400,0,1998,2006,"5020 Quincy Ave SE","Auburn","WA 98092","USA"
"2014-06-12 00:00:00",489950,4,2.25,2640,31941,1,0,0,4,2640,0,1986,0,"16915 SE 325th Pl","Auburn","WA 98092","USA"
"2014-05-16 00:00:00",363750,3,1.75,1726,197326,2,0,0,4,1726,0,1982,2011,"28507 Vashon Hwy SW","Vashon","WA 98070","USA"
"2014-05-05 00:00:00",770000,3,2,2350,5700,1.5,0,0,4,1810,540,1939,1989,"2171 Boyer Ave E","Seattle","WA 98112","USA"
"2014-06-23 00:00:00",562500,3,2.25,1300,907,2,0,0,3,1000,300,2006,0,"2008 Yale Ave E","Seattle","WA 98102","USA"
"2014-05-29 00:00:00",550000,5,2,2450,9488,1,0,0,4,1240,1210,1900,1955,"10515 Ashworth Ave N","Seattle","WA 98133","USA"
"2014-06-25 00:00:00",196500,3,1,1320,9000,1,0,0,3,1320,0,1966,1963,"28430 49th Ave S","Auburn","WA 98001","USA"
"2014-06-26 00:00:00",224000,4,1.5,1600,9289,1,0,0,4,1600,0,1959,0,"214-220 N St NE","Auburn","WA 98002","USA"
"2014-06-27 00:00:00",469900,4,2.5,2990,8913,2,0,0,4,2990,0,1991,0,"18626 136th Pl SE","Renton","WA 98058","USA"
"2014-07-01 00:00:00",219950,3,1.5,1620,9310,1,0,0,4,1620,0,1967,0,"17459 SE 262nd St","Covington","WA 98042","USA"
"2014-05-28 00:00:00",225000,3,2.5,1680,6755,2,0,0,3,1680,0,1994,0,"30410 128th Pl SE","Auburn","WA 98092","USA"
"2014-06-05 00:00:00",647500,3,1.75,1290,3870,1,0,0,5,1290,0,1916,0,"1727 Lake Washington Blvd S","Seattle","WA 98144","USA"
"2014-06-02 00:00:00",525000,4,2.5,2910,7631,2,0,2,3,2910,0,2006,0,"25480 SE 275th Pl","Maple Valley","WA 98038","USA"
"2014-06-25 00:00:00",308000,3,1,1640,18144,1.5,0,0,3,1640,0,1942,1999,"11211 3rd Ave S","Seattle","WA 98168","USA"
"2014-05-16 00:00:00",1270000,4,3,5520,8313,2,0,3,3,3570,1950,2008,0,"4468 158th Ave SE","Bellevue","WA 98006","USA"
